"","date","time","BatteryMeterView","level","status","health","SignalStrength","LTE level"
0,"01-11","13:37:25.533","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-13 ', '44 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:25.643","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-13 ', '44 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:25.743","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-13 ', '44 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:26.433","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-10 ', '-21 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:28.673","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-10 ', '102 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:39.793","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-98 ', '-8 ', '8 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:46.573","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-98 ', '-10 ', '98 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:37:55.333","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:37:55.333","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:38:05.453","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:38:05.453","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:38:06.833","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-10 ', '94 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:06.943","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-10 ', '94 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:07.043","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-97 ', '-10 ', '94 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:09.923","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-11 ', '24 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:12.923","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '26 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:13.463","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '26 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:38:15.453","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:15.453","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:18.913","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-95 ', '-11 ', '84 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:25.453","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:25.463","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:28.013","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-100 ', '-12 ', '-1 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:38:29.183","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-100 ', '-12 ', '2 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:38:35.513","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:35.533","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:40.363","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-10 ', '62 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:38:42.613","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-97 ', '-10 ', '78 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:45.643","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:45.643","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:46.033","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-98 ', '-10 ', '90 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:55.183","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-98 ', '-11 ', '6 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:38:55.723","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:55.733","ACTION_BATTERY_CHANGED","98","2","2","-","-"
0,"01-11","13:38:56.043","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-98 ', '-11 ', '20 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:38:58.083","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '25 ', '-97 ', '-12 ', '6 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:39:05.913","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:05.913","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:10.113","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-12 ', '68 ', '-1 ', '2147483647 ']","3"
0,"01-11","13:39:11.833","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-12 ', '86 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:15.823","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:15.843","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:16.093","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '78 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:25.913","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:25.913","ACTION_BATTERY_CHANGED","99","2","2","-","-"
0,"01-11","13:39:36.083","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:39:36.103","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:39:36.293","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '78 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:36.383","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '78 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:36.603","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-11 ', '78 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:46.043","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:39:46.043","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:39:52.303","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-11 ', '122 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:39:56.173","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:39:56.173","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:40:03.253","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-98 ', '-12 ', '54 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:40:26.163","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:40:26.193","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:40:39.103","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '20 ', '-100 ', '-9 ', '126 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:40:43.553","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-100 ', '-10 ', '92 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:40:49.427","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '21 ', '-100 ', '-10 ', '60 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:40:56.277","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:40:56.307","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:06.007","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-96 ', '-10 ', '96 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:41:06.357","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:06.357","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:16.417","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:16.417","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:26.497","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:26.527","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:36.627","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:36.627","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:46.697","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:46.697","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:56.767","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:41:56.767","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:06.747","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:06.767","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:16.887","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:16.887","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:17.707","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-95 ', '-11 ', '44 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:19.787","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-95 ', '-10 ', '134 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:24.507","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-95 ', '-11 ', '118 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:26.957","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:26.957","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:32.097","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-97 ', '-10 ', '52 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:35.137","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '25 ', '-96 ', '-11 ', '54 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:37.007","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:37.027","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:42.337","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-95 ', '-9 ', '122 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:42:47.107","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:47.107","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:57.127","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:42:57.127","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:07.197","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:07.217","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:17.277","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:17.277","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:22.647","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-95 ', '-8 ', '84 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:43:27.377","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:27.377","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:37.437","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:37.437","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:41.577","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-96 ', '-10 ', '60 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:43:47.487","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:47.507","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:57.557","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:57.557","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:43:58.507","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-97 ', '-10 ', '50 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:44:07.647","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:07.647","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:08.597","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-98 ', '-10 ', '110 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:44:17.667","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:17.687","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:27.817","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:27.817","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:37.837","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:37.867","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:44:44.847","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-96 ', '-10 ', '58 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:45:18.177","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:18.177","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:28.237","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:28.257","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:30.317","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-96 ', '-9 ', '120 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:45:37.077","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '22 ', '-96 ', '-10 ', '56 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:45:38.317","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:38.317","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:48.277","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '23 ', '-99 ', '-12 ', '20 ', '-1 ', '2147483647 ']","4"
0,"01-11","13:45:48.367","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:48.367","ACTION_BATTERY_CHANGED","100","5","2","-","-"
0,"01-11","13:45:54.227","-","-","-","-","['99 ', '99 ', '-120 ', '-160 ', '-120 ', '-1 ', '-1 ', '24 ', '-95 ', '-9 ', '100 ', '-1 ', '2147483647 ']","4"
